pop,herb,rate,rep,ve,surv,ima_R,atra_R,gly_R,county,corn_soy,tillage,manure,infestation,SOA_1,SOA_2,SOA_4,SOA_5,SOA_6,SOA_9,SOA_10,SOA_14,SOA_15,SOA_19,SOA_27
A47,glyphosate,1x,1,9,1,,,yes,Green,yes,no,no,high,no,no,yes,no,no,yes,no,yes,yes,yes,no
A48,glyphosate,1x,1,9,1,,,yes,Rock,,,,medium,no,yes,yes,no,no,yes,no,no,yes,no,no
A49,glyphosate,1x,1,9,1,,,yes,Green,,,,high,no,no,no,no,no,no,no,no,no,no,no
A50,glyphosate,1x,1,9,1,,,yes,Green,yes,,,medium,no,yes,yes,no,no,yes,no,yes,yes,no,yes
A51,glyphosate,1x,1,9,1,,,yes,Dane,yes,yes,no,high,no,yes,yes,no,no,yes,no,yes,yes,no,no
A52,glyphosate,1x,1,1,0,,,no,Green,yes,yes,no,medium,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes
A53,glyphosate,1x,1,9,1,,,yes,Rock,yes,yes,yes,medium,no,yes,yes,no,no,yes,no,yes,yes,no,yes
A54,glyphosate,1x,1,9,1,,,yes,Rock,yes,no,no,high,no,yes,yes,no,no,yes,no,yes,yes,yes,yes
A55,glyphosate,1x,1,1,0,,,yes,Rock,yes,yes,no,medium,no,yes,yes,no,no,yes,no,yes,yes,no,yes
A56,glyphosate,1x,1,9,1,,,yes,Rock,yes,no,no,medium,no,yes,yes,no,no,yes,no,yes,yes,yes,no
A57,glyphosate,1x,1,8,1,,,yes,Rock,yes,yes,no,high,no,yes,no,no,no,yes,no,no,no,no,no
A58,glyphosate,1x,1,9,1,,,yes,Rock,yes,yes,no,high,no,no,no,no,no,yes,no,no,no,no,yes
A59,glyphosate,1x,1,8,1,,,yes,Green,yes,yes,no,medium,no,yes,no,no,no,yes,no,yes,yes,no,no
A60,glyphosate,1x,1,5,1,,,yes,Rock,yes,yes,,medium,no,yes,yes,no,no,yes,no,yes,yes,yes,yes
A61,glyphosate,1x,1,9,1,,,yes,Green,yes,no,no,medium,no,yes,yes,no,no,yes,no,yes,yes,no,no
A62,glyphosate,1x,1,9,1,,,yes,Rock,yes,no,no,low,no,yes,yes,no,no,yes,no,yes,yes,yes,yes
A63,glyphosate,1x,1,9,1,,,yes,Green,yes,yes,no,low,no,yes,no,no,no,yes,no,yes,no,no,no
A64,glyphosate,1x,1,9,1,,,yes,Rock,yes,no,no,medium,no,yes,yes,no,no,no,no,no,yes,yes,no
A65,glyphosate,1x,1,9,1,,,yes,Grant,yes,yes,yes,low,no,yes,yes,yes,no,yes,no,yes,yes,no,no
A66,glyphosate,1x,1,1,0,,,no,Grant,yes,yes,yes,high,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A67,glyphosate,1x,1,9,1,,,yes,Found du Lac,yes,no,no,high,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes
A68,glyphosate,1x,1,5,1,,,yes,Calumet,yes,yes,yes,medium,no,no,no,yes,no,yes,no,no,no,no,no
A69,glyphosate,1x,1,9,1,,,yes,Found du Lac,yes,no,no,medium,no,no,no,no,no,yes,no,yes,yes,no,no
A70,glyphosate,1x,1,9,1,,,yes,Monroe,yes,no,yes,high,no,yes,yes,yes,no,yes,no,no,yes,no,yes
A72,glyphosate,1x,1,8,1,,,yes,Waupaca,yes,,,medium,no,yes,no,no,no,yes,no,no,no,no,no
A73,glyphosate,1x,1,5,1,,,no,Grant,,no,no,medium,no,no,no,yes,no,yes,yes,yes,yes,no,yes
A74,glyphosate,1x,1,9,1,,,yes,Lafayette,,no,no,high,no,no,yes,no,no,yes,no,no,no,no,no
A75,glyphosate,1x,1,9,1,,,yes,Found du Lac,yes,yes,no,medium,no,no,no,yes,no,yes,no,yes,yes,no,yes
A76,glyphosate,1x,1,5,1,,,yes,Found du Lac,yes,yes,no,low,no,no,no,yes,no,yes,no,yes,yes,no,yes
A77,glyphosate,1x,1,9,1,,,yes,Found du Lac,yes,yes,no,medium,no,yes,no,yes,no,yes,no,yes,yes,no,yes
A78,glyphosate,1x,1,9,1,,,yes,,yes,yes,no,high,no,yes,yes,no,no,yes,no,yes,yes,no,no
A79,glyphosate,1x,1,5,1,,,yes,,yes,yes,yes,high,no,no,no,no,no,yes,no,no,yes,no,no
A80,glyphosate,1x,1,9,1,,,yes,,yes,yes,no,medium,no,yes,yes,no,no,yes,no,no,yes,no,no
A81,glyphosate,1x,1,7,1,,,yes,,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,no,yes,no,no
A82,glyphosate,1x,1,3,0,,,no,Chippewa,yes,yes,no,high,yes,yes,no,yes,no,yes,no,yes,yes,no,yes
A83,glyphosate,1x,1,9,1,,,yes,Winnebago,yes,yes,no,low,no,yes,yes,no,no,yes,no,no,yes,no,no
A84,glyphosate,1x,1,9,1,,,yes,Pierce,yes,no,no,medium,no,yes,yes,no,no,yes,no,yes,yes,no,no
A85,glyphosate,1x,1,9,1,,,yes,St. Croix,yes,,no,medium,no,no,yes,no,no,yes,no,no,yes,no,no
A86,glyphosate,1x,1,9,1,,,yes,Pierce,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A87,glyphosate,1x,1,2,0,,,yes,Sheboygan,yes,,yes,,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes
A88,glyphosate,1x,1,9,1,,,yes,,yes,,no,medium,no,yes,no,yes,no,yes,no,yes,yes,no,yes
A89,glyphosate,1x,1,1,0,,,yes,Sheboygan,yes,yes,no,high,no,no,yes,no,no,yes,no,no,no,no,no
A90,glyphosate,1x,1,8,1,,,yes,Pensaukee,yes,,,high,no,no,no,no,no,yes,no,no,no,no,no
A1,imazethapyr,1x,1,9,1,yes,,,,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A2,imazethapyr,1x,1,9,1,yes,,,Dunn,yes,yes,no,medium,no,yes,yes,no,no,yes,no,no,yes,no,no
A3,imazethapyr,1x,1,8,1,yes,,,Dunn,yes,yes,no,medium,no,yes,yes,no,no,yes,no,no,yes,no,no
A7,imazethapyr,1x,1,9,1,yes,,,,,,,,no,no,no,no,no,no,no,no,no,no,no
A8,imazethapyr,1x,1,8,1,yes,,,Brown,yes,yes,yes,high,yes,yes,yes,no,no,yes,no,yes,yes,no,no
A9,imazethapyr,1x,1,9,1,yes,,,La Crosse,yes,no,yes,high,no,yes,yes,yes,no,yes,no,no,yes,no,no
A10,imazethapyr,1x,1,7,1,yes,,,Trempealeau,yes,yes,no,low,no,yes,no,no,no,yes,no,no,no,no,no
A11,imazethapyr,1x,1,9,1,yes,,,Vernon,yes,yes,yes,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,no
A12,imazethapyr,1x,1,9,1,yes,,,Trempealeau,yes,yes,no,high,no,yes,yes,no,no,no,no,yes,yes,no,yes
A13,imazethapyr,1x,1,9,1,yes,,,Found du Lac,yes,,,high,no,yes,no,no,no,yes,no,no,no,no,no
A14,imazethapyr,1x,1,7,1,yes,,,Dodge,yes,yes,yes,medium,no,yes,yes,no,no,no,no,yes,no,no,no
A15,imazethapyr,1x,1,9,1,yes,,,Rock,yes,no,no,high,no,no,no,no,no,yes,no,no,no,no,no
A17,imazethapyr,1x,1,9,1,yes,,,Outagamie,yes,yes,no,low,no,yes,yes,no,no,yes,no,yes,yes,no,no
A18,imazethapyr,1x,1,7,1,yes,,,Winnebago,yes,yes,no,high,no,yes,yes,no,no,yes,no,yes,yes,no,no
A19,imazethapyr,1x,1,2,0,yes,,,Calumet,yes,yes,yes,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A20,imazethapyr,1x,1,3,0,yes,,,Brown,yes,yes,yes,high,no,yes,no,yes,no,no,no,yes,yes,no,yes
A21,imazethapyr,1x,1,9,1,yes,,,Outagamie,yes,yes,no,medium,no,yes,yes,no,no,yes,no,yes,yes,no,no
A22,imazethapyr,1x,1,9,1,yes,,,Outagamie,yes,yes,yes,high,yes,yes,yes,yes,no,yes,no,yes,yes,no,no
A23,imazethapyr,1x,1,9,1,yes,,,Dane,yes,,no,medium,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes
A24,imazethapyr,1x,1,9,1,yes,,,Brown,yes,yes,yes,low,yes,yes,yes,yes,no,yes,no,no,yes,no,yes
A25,imazethapyr,1x,1,9,1,yes,,,Outagamie,yes,yes,no,high,yes,no,no,yes,no,yes,no,no,yes,no,yes
A26,imazethapyr,1x,1,8,1,yes,,,Walworth,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A27,imazethapyr,1x,1,9,1,yes,,,Waukesha,yes,yes,no,high,no,yes,no,yes,no,yes,no,yes,yes,no,yes
A28,imazethapyr,1x,1,9,1,yes,,,Waukesha,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,no,yes,no,yes
A30,imazethapyr,1x,1,7,1,yes,,,Door,yes,,,low,no,no,yes,no,no,yes,no,no,no,no,no
A31,imazethapyr,1x,1,7,1,yes,,,Door,yes,,,low,no,no,no,no,no,yes,no,no,no,no,no
A32,imazethapyr,1x,1,9,1,yes,,,Door,yes,,,low,no,no,yes,no,no,yes,no,no,yes,no,no
A33,imazethapyr,1x,1,9,1,yes,,,Calumet,yes,yes,no,medium,no,no,yes,yes,no,yes,no,no,yes,yes,yes
A34,imazethapyr,1x,1,3,0,yes,,,Manitowoc,yes,yes,no,high,no,yes,yes,yes,no,yes,no,no,yes,yes,no
A35,imazethapyr,1x,1,3,0,yes,,,Calumet,yes,yes,no,medium,no,yes,yes,no,no,yes,no,no,yes,yes,no
A36,imazethapyr,1x,1,9,1,yes,,,Calumet,yes,yes,yes,high,no,no,yes,no,yes,yes,no,yes,no,yes,yes
A37,imazethapyr,1x,1,9,1,yes,,,Columbia,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A38,imazethapyr,1x,1,8,1,yes,,,Sheboygan,yes,yes,no,high,no,no,no,yes,no,yes,no,no,yes,no,yes
A39,imazethapyr,1x,1,1,0,yes,,,Sheboygan,yes,no,no,high,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A40,imazethapyr,1x,1,8,1,yes,,,Rock,yes,yes,no,high,no,yes,yes,no,no,yes,no,yes,yes,yes,no
A41,imazethapyr,1x,1,9,1,yes,,,Brown,yes,yes,yes,high,no,yes,yes,no,no,yes,no,no,no,no,no
A42,imazethapyr,1x,1,9,1,yes,,,Rock,yes,no,no,high,no,no,no,no,no,no,no,no,no,no,no
A44,imazethapyr,1x,1,9,1,yes,,,Rock,yes,yes,no,low,no,yes,yes,no,no,yes,no,yes,yes,yes,no
A45,imazethapyr,1x,1,9,1,yes,,,Green,yes,yes,yes,medium,no,yes,yes,no,no,yes,no,yes,yes,no,yes
A47,imazethapyr,1x,1,7,1,yes,,,Green,yes,no,no,high,no,no,yes,no,no,yes,no,yes,yes,yes,no
A48,imazethapyr,1x,1,8,1,yes,,,Rock,,,,medium,no,yes,yes,no,no,yes,no,no,yes,no,no
A49,imazethapyr,1x,1,2,0,yes,,,Green,,,,high,no,no,no,no,no,no,no,no,no,no,no
A50,imazethapyr,1x,1,9,1,yes,,,Green,yes,,,medium,no,yes,yes,no,no,yes,no,yes,yes,no,yes
A51,imazethapyr,1x,1,9,1,yes,,,Dane,yes,yes,no,high,no,yes,yes,no,no,yes,no,yes,yes,no,no
A52,imazethapyr,1x,1,9,1,yes,,,Green,yes,yes,no,medium,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes
A53,imazethapyr,1x,1,9,1,yes,,,Rock,yes,yes,yes,medium,no,yes,yes,no,no,yes,no,yes,yes,no,yes
A55,imazethapyr,1x,1,9,1,yes,,,Rock,yes,yes,no,medium,no,yes,yes,no,no,yes,no,yes,yes,no,yes
A56,imazethapyr,1x,1,7,1,yes,,,Rock,yes,no,no,medium,no,yes,yes,no,no,yes,no,yes,yes,yes,no
A57,imazethapyr,1x,1,9,1,yes,,,Rock,yes,yes,no,high,no,yes,no,no,no,yes,no,no,no,no,no
A58,imazethapyr,1x,1,4,0,yes,,,Rock,yes,yes,no,high,no,no,no,no,no,yes,no,no,no,no,yes
A59,imazethapyr,1x,1,8,1,yes,,,Green,yes,yes,no,medium,no,yes,no,no,no,yes,no,yes,yes,no,no
A60,imazethapyr,1x,1,9,1,yes,,,Rock,yes,yes,,medium,no,yes,yes,no,no,yes,no,yes,yes,yes,yes
A61,imazethapyr,1x,1,9,1,yes,,,Green,yes,no,no,medium,no,yes,yes,no,no,yes,no,yes,yes,no,no
A62,imazethapyr,1x,1,9,1,yes,,,Rock,yes,no,no,low,no,yes,yes,no,no,yes,no,yes,yes,yes,yes
A63,imazethapyr,1x,1,9,1,yes,,,Green,yes,yes,no,low,no,yes,no,no,no,yes,no,yes,no,no,no
A64,imazethapyr,1x,1,9,1,yes,,,Rock,yes,no,no,medium,no,yes,yes,no,no,no,no,no,yes,yes,no
A65,imazethapyr,1x,1,9,1,yes,,,Grant,yes,yes,yes,low,no,yes,yes,yes,no,yes,no,yes,yes,no,no
A66,imazethapyr,1x,1,9,1,yes,,,Grant,yes,yes,yes,high,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A67,imazethapyr,1x,1,4,0,yes,,,Found du Lac,yes,no,no,high,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes
A68,imazethapyr,1x,1,3,0,yes,,,Calumet,yes,yes,yes,medium,no,no,no,yes,no,yes,no,no,no,no,no
A69,imazethapyr,1x,1,9,1,yes,,,Found du Lac,yes,no,no,medium,no,no,no,no,no,yes,no,yes,yes,no,no
A70,imazethapyr,1x,1,9,1,yes,,,Monroe,yes,no,yes,high,no,yes,yes,yes,no,yes,no,no,yes,no,yes
A72,imazethapyr,1x,1,9,1,yes,,,Waupaca,yes,,,medium,no,yes,no,no,no,yes,no,no,no,no,no
A73,imazethapyr,1x,1,9,1,yes,,,Grant,,no,no,medium,no,no,no,yes,no,yes,yes,yes,yes,no,yes
A74,imazethapyr,1x,1,9,1,yes,,,Lafayette,,no,no,high,no,no,yes,no,no,yes,no,no,no,no,no
A75,imazethapyr,1x,1,9,1,yes,,,Found du Lac,yes,yes,no,medium,no,no,no,yes,no,yes,no,yes,yes,no,yes
A76,imazethapyr,1x,1,8,1,yes,,,Found du Lac,yes,yes,no,low,no,no,no,yes,no,yes,no,yes,yes,no,yes
A77,imazethapyr,1x,1,9,1,yes,,,Found du Lac,yes,yes,no,medium,no,yes,no,yes,no,yes,no,yes,yes,no,yes
A78,imazethapyr,1x,1,4,0,yes,,,,yes,yes,no,high,no,yes,yes,no,no,yes,no,yes,yes,no,no
A79,imazethapyr,1x,1,9,1,yes,,,,yes,yes,yes,high,no,no,no,no,no,yes,no,no,yes,no,no
A80,imazethapyr,1x,1,9,1,yes,,,,yes,yes,no,medium,no,yes,yes,no,no,yes,no,no,yes,no,no
A81,imazethapyr,1x,1,9,1,yes,,,,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,no,yes,no,no
A82,imazethapyr,1x,1,9,1,yes,,,Chippewa,yes,yes,no,high,yes,yes,no,yes,no,yes,no,yes,yes,no,yes
A83,imazethapyr,1x,1,9,1,yes,,,Winnebago,yes,yes,no,low,no,yes,yes,no,no,yes,no,no,yes,no,no
A84,imazethapyr,1x,1,9,1,yes,,,Pierce,yes,no,no,medium,no,yes,yes,no,no,yes,no,yes,yes,no,no
A85,imazethapyr,1x,1,9,1,yes,,,St. Croix,yes,,no,medium,no,no,yes,no,no,yes,no,no,yes,no,no
A86,imazethapyr,1x,1,9,1,yes,,,Pierce,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A87,imazethapyr,1x,1,9,1,no,,,Sheboygan,yes,,yes,,yes,yes,yes,yes,no,yes,no,yes,yes,no,yes
A88,imazethapyr,1x,1,9,1,yes,,,,yes,,no,medium,no,yes,no,yes,no,yes,no,yes,yes,no,yes
A89,imazethapyr,1x,1,8,1,yes,,,Sheboygan,yes,yes,no,high,no,no,yes,no,no,yes,no,no,no,no,no
A90,imazethapyr,1x,1,9,1,yes,,,Pensaukee,yes,,,high,no,no,no,no,no,yes,no,no,no,no,no
A91,imazethapyr,1x,1,9,1,yes,,,Chippewa,yes,,,medium,no,no,no,yes,no,yes,no,no,yes,no,yes
A1,atrazine,1x,1,1,0,,no,,,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A2,atrazine,1x,1,1,0,,no,,Dunn,yes,yes,no,medium,no,yes,yes,no,no,yes,no,no,yes,no,no
A3,atrazine,1x,1,1,0,,no,,Dunn,yes,yes,no,medium,no,yes,yes,no,no,yes,no,no,yes,no,no
A8,atrazine,1x,1,1,0,,no,,Brown,yes,yes,yes,high,yes,yes,yes,no,no,yes,no,yes,yes,no,no
A9,atrazine,1x,1,8,1,,yes,,La Crosse,yes,no,yes,high,no,yes,yes,yes,no,yes,no,no,yes,no,no
A10,atrazine,1x,1,1,0,,yes,,Trempealeau,yes,yes,no,low,no,yes,no,no,no,yes,no,no,no,no,no
A11,atrazine,1x,1,8,1,,yes,,Vernon,yes,yes,yes,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,no
A12,atrazine,1x,1,1,0,,no,,Trempealeau,yes,yes,no,high,no,yes,yes,no,no,no,no,yes,yes,no,yes
A14,atrazine,1x,1,1,0,,no,,Dodge,yes,yes,yes,medium,no,yes,yes,no,no,no,no,yes,no,no,no
A15,atrazine,1x,1,8,1,,no,,Rock,yes,no,no,high,no,no,no,no,no,yes,no,no,no,no,no
A17,atrazine,1x,1,1,0,,no,,Outagamie,yes,yes,no,low,no,yes,yes,no,no,yes,no,yes,yes,no,no
A18,atrazine,1x,1,1,0,,no,,Winnebago,yes,yes,no,high,no,yes,yes,no,no,yes,no,yes,yes,no,no
A19,atrazine,1x,1,1,0,,yes,,Calumet,yes,yes,yes,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A20,atrazine,1x,1,8,1,,yes,,Brown,yes,yes,yes,high,no,yes,no,yes,no,no,no,yes,yes,no,yes
A21,atrazine,1x,1,1,0,,no,,Outagamie,yes,yes,no,medium,no,yes,yes,no,no,yes,no,yes,yes,no,no
A22,atrazine,1x,1,1,0,,no,,Outagamie,yes,yes,yes,high,yes,yes,yes,yes,no,yes,no,yes,yes,no,no
A23,atrazine,1x,1,1,0,,no,,Dane,yes,,no,medium,yes,yes,yes,yes,no,yes,no,yes,yes,yes,yes
A24,atrazine,1x,1,1,0,,no,,Brown,yes,yes,yes,low,yes,yes,yes,yes,no,yes,no,no,yes,no,yes
A25,atrazine,1x,1,1,0,,no,,Outagamie,yes,yes,no,high,yes,no,no,yes,no,yes,no,no,yes,no,yes
A26,atrazine,1x,1,1,0,,no,,Walworth,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A27,atrazine,1x,1,1,0,,no,,Waukesha,yes,yes,no,high,no,yes,no,yes,no,yes,no,yes,yes,no,yes
A28,atrazine,1x,1,1,0,,no,,Waukesha,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,no,yes,no,yes
A30,atrazine,1x,1,1,0,,no,,Door,yes,,,low,no,no,yes,no,no,yes,no,no,no,no,no
A31,atrazine,1x,1,1,0,,no,,Door,yes,,,low,no,no,no,no,no,yes,no,no,no,no,no
A32,atrazine,1x,1,1,0,,no,,Door,yes,,,low,no,no,yes,no,no,yes,no,no,yes,no,no
A33,atrazine,1x,1,1,0,,no,,Calumet,yes,yes,no,medium,no,no,yes,yes,no,yes,no,no,yes,yes,yes
A34,atrazine,1x,1,1,0,,no,,Manitowoc,yes,yes,no,high,no,yes,yes,yes,no,yes,no,no,yes,yes,no
A35,atrazine,1x,1,1,0,,no,,Calumet,yes,yes,no,medium,no,yes,yes,no,no,yes,no,no,yes,yes,no
A36,atrazine,1x,1,1,0,,no,,Calumet,yes,yes,yes,high,no,no,yes,no,yes,yes,no,yes,no,yes,yes
A37,atrazine,1x,1,3,0,,no,,Columbia,yes,yes,no,medium,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A38,atrazine,1x,1,1,0,,no,,Sheboygan,yes,yes,no,high,no,no,no,yes,no,yes,no,no,yes,no,yes
A39,atrazine,1x,1,1,0,,no,,Sheboygan,yes,no,no,high,no,yes,yes,yes,no,yes,no,yes,yes,no,yes
A40,atrazine,1x,1,1,0,,no,,Rock,yes,yes,no,high,no,yes,yes,no,no,yes,no,yes,yes,yes,no
A41,atrazine,1x,1,2,0,,no,,Brown,yes,yes,yes,high,no,yes,yes,no,no,yes,no,no,no,no,no
A42,atrazine,1x,1,1,0,,no,,Rock,yes,no,no,high,no,no,no,no,no,no,no,no,no,no,no
A43,atrazine,1x,1,3,0,,no,,Green,yes,yes,no,medium,no,yes,yes,no,no,yes,no,yes,yes,yes,no
A44,atrazine,1x,1,1,0,,no,,Rock,yes,yes,no,low,no,yes,yes,no,no,yes,no,yes,yes,yes,no
A45,atrazine,1x,1,1,0,,no,,Green,yes,yes,yes,medium,no,yes,yes,no,no,yes,no,yes,yes,no,yes
A46,atrazine,1x,1,7,1,,no,,Vernon,,,yes,low,no,no,no,no,no,no,no,no,no,no,no
A47,atrazine,1x,1,1,0,,no,,Green,yes,no,no,high,no,no,yes,no,no,yes,no,yes,yes,yes,no
A48,atrazine,1x,1,1,0,,no,,Rock,,,,medium,no,yes,yes,no,no,yes,no,no,yes,no,no
A49,atrazine,1x,1,1,0,,no,,Green,,,,high,no,no,no,no,no,no,no,no,no,no,no
A50,atrazine,1x,1,1,0,,no,,Green,yes,,,medium,no,yes,yes,no,no,yes,no,yes,yes,no,yes
A51,atrazine,1x,1,1,0,,no,,Dane,yes,yes,no,high,no,yes,yes,no,no,yes,no,yes,yes,no,no
A52,atrazine,1x,1,1,0,,no,,Green,yes,yes,no,medium,yes,yes,yes,no,no,yes,no,yes,yes,yes,yes
