run,trt,pop,herb,rate,rep,ve_7dat,ve_14dat,ve_21dat,surv,biomass
1,12,A92,EXT1490,0,1,0,0,0,1,3.469
1,12,A92,EXT1490,0,2,0,0,0,1,3.371
1,12,A92,EXT1490,0,3,0,0,0,1,3.131
1,12,A92,EXT1490,0,4,0,0,0,1,2.805
1,12,A92,EXT1490,0,5,0,0,0,1,2.841
1,12,A92,EXT1490,0,6,0,0,0,1,3.097
1,18,A92,EXT1490,35,1,20,15,15,1,3.077
1,18,A92,EXT1490,35,2,15,20,20,1,1.965
1,18,A92,EXT1490,35,3,15,15,10,1,3.095
1,18,A92,EXT1490,35,4,20,30,25,1,2.827
1,18,A92,EXT1490,35,5,15,30,20,1,2.278
1,18,A92,EXT1490,35,6,20,20,15,1,1.855
1,19,A92,EXT1490,70,1,30,30,20,1,2.109
1,19,A92,EXT1490,70,2,40,30,10,1,2.769
1,19,A92,EXT1490,70,3,30,30,20,1,2.33
1,19,A92,EXT1490,70,4,30,20,20,1,3.473
1,19,A92,EXT1490,70,5,30,25,20,1,2.649
1,19,A92,EXT1490,70,6,30,20,10,1,1.814
1,20,A92,EXT1490,140,1,30,15,10,1,2.185
1,20,A92,EXT1490,140,2,30,15,15,1,2.37
1,20,A92,EXT1490,140,3,20,20,15,1,1.893
1,20,A92,EXT1490,140,4,30,20,15,1,3.052
1,20,A92,EXT1490,140,5,30,20,15,1,3.963
1,20,A92,EXT1490,140,6,40,15,15,1,2.15
1,21,A92,EXT1490,280,1,30,20,15,1,2.583
1,21,A92,EXT1490,280,2,35,30,20,1,2.867
1,21,A92,EXT1490,280,3,40,30,20,1,1.764
1,21,A92,EXT1490,280,4,25,20,15,1,2.016
1,21,A92,EXT1490,280,5,25,30,20,1,2.959
1,21,A92,EXT1490,280,6,30,30,20,1,2.003
1,22,A92,EXT1490,560,1,90,80,50,1,0.736
1,22,A92,EXT1490,560,2,100,100,100,0,0
1,22,A92,EXT1490,560,3,80,70,50,1,1.078
1,22,A92,EXT1490,560,4,70,50,30,1,2.405
1,22,A92,EXT1490,560,5,60,30,25,1,1.625
1,22,A92,EXT1490,560,6,75,60,50,1,1.646
