run,pop,herb,dose,rep,surv,biomass
2,ROK-19,Control,0x,4,1,1.442
2,ROK-19,Control,0x,5,1,2.022
2,ROK-19,Cloransulam,1x,1,0,0
2,ROK-19,Cloransulam,1x,2,0,0
2,ROK-19,Cloransulam,1x,3,0,0
2,ROK-19,Cloransulam,1x,4,0,0
2,ROK-19,Cloransulam,1x,5,0,0
2,ROK-19,Glyphosate,1x,1,1,1.305
2,ROK-19,Glyphosate,1x,2,1,1.285
2,ROK-19,Glyphosate,1x,3,1,1.105
2,ROK-19,Glyphosate,1x,4,0,0
2,ROK-19,Glyphosate,1x,5,1,0.954
2,ROK-19,Atrazine,1x,1,0,0
2,ROK-19,Atrazine,1x,2,0,0
2,ROK-19,Atrazine,1x,3,0,0
2,ROK-19,Atrazine,1x,4,0,0
2,ROK-19,Atrazine,1x,5,0,0
2,ROK-19,"2,4-D",1x,1,0,0
2,ROK-19,"2,4-D",1x,2,0,0
2,ROK-19,"2,4-D",1x,3,0,0
2,ROK-19,"2,4-D",1x,4,0,0
2,ROK-19,"2,4-D",1x,5,0,0
2,ROK-19,Dicamba,1x,1,0,0
2,ROK-19,Dicamba,1x,2,0,0
2,ROK-19,Dicamba,1x,3,0,0
2,ROK-19,Dicamba,1x,4,0,0
2,ROK-19,Dicamba,1x,5,0,0
2,ROK-19,Glufosinate,1x,1,0,0
2,ROK-19,Glufosinate,1x,2,0,0
2,ROK-19,Glufosinate,1x,3,0,0
2,ROK-19,Glufosinate,1x,4,0,0
2,ROK-19,Glufosinate,1x,5,0,0
2,ROK-19,Fomesafen,1x,1,0,0
2,ROK-19,Fomesafen,1x,2,0,0
2,ROK-19,Fomesafen,1x,3,0,0
2,ROK-19,Fomesafen,1x,4,0,0
2,ROK-19,Fomesafen,1x,5,0,0
2,ROK-19,Mesotrione,1x,1,1,0.305
2,ROK-19,Mesotrione,1x,2,0,0
2,ROK-19,Mesotrione,1x,3,0,0
2,ROK-19,Mesotrione,1x,4,0,0
2,ROK-19,Mesotrione,1x,5,0,0
2,ROK-19,Cloransulam,3x,1,0,0
2,ROK-19,Cloransulam,3x,2,1,1.03
2,ROK-19,Cloransulam,3x,3,0,0
2,ROK-19,Cloransulam,3x,4,0,0
2,ROK-19,Cloransulam,3x,5,0,0
2,ROK-19,Glyphosate,3x,1,0,0
2,ROK-19,Glyphosate,3x,2,0,0
2,ROK-19,Glyphosate,3x,3,0,0
2,ROK-19,Glyphosate,3x,4,0,0
2,ROK-19,Glyphosate,3x,5,0,0
2,ROK-19,Atrazine,3x,1,0,0
2,ROK-19,Atrazine,3x,2,0,0
2,ROK-19,Atrazine,3x,3,0,0
2,ROK-19,Atrazine,3x,4,0,0
2,ROK-19,Atrazine,3x,5,0,0
2,ROK-19,"2,4-D",3x,1,0,0
2,ROK-19,"2,4-D",3x,2,0,0
2,ROK-19,"2,4-D",3x,3,0,0
2,ROK-19,"2,4-D",3x,4,0,0
2,ROK-19,"2,4-D",3x,5,0,0
2,ROK-19,Dicamba,3x,1,0,0
2,ROK-19,Dicamba,3x,2,0,0
2,ROK-19,Dicamba,3x,3,0,0
2,ROK-19,Dicamba,3x,4,0,0
2,ROK-19,Dicamba,3x,5,0,0
2,ROK-19,Glufosinate,3x,1,0,0
2,ROK-19,Glufosinate,3x,2,0,0
2,ROK-19,Glufosinate,3x,3,0,0
2,ROK-19,Glufosinate,3x,4,0,0
2,ROK-19,Glufosinate,3x,5,0,0
2,ROK-19,Fomesafen,3x,1,0,0
2,ROK-19,Fomesafen,3x,2,0,0
2,ROK-19,Fomesafen,3x,3,0,0
2,ROK-19,Fomesafen,3x,4,0,0
2,ROK-19,Fomesafen,3x,5,0,0
2,ROK-19,Mesotrione,3x,1,0,0
2,ROK-19,Mesotrione,3x,2,0,0
2,ROK-19,Mesotrione,3x,3,0,0
2,ROK-19,Mesotrione,3x,4,0,0
2,ROK-19,Mesotrione,3x,5,0,0
