run,pop,Herbicide,Dose,rep,count,biomass,count_red,bio_red
1,A11,Atrazine,1x,2,8,0.817,0.663157895,1E-10
1,A11,Atrazine,1x,3,4,0.375,0.831578947,0.270782693
1,A11,Atrazine,1x,4,8,1.345,0.663157895,1E-10
1,A11,Metribuzin,1x,1,0,0,1,1
1,A11,Metribuzin,1x,2,0,0,1,1
1,A11,Metribuzin,1x,3,0,0,1,1
1,A11,Metribuzin,1x,4,0,0,1,1
1,A11,Atrazine,3x,1,6,0.013,0.747368421,0.974720467
1,A11,Atrazine,3x,2,7,0.29,0.705263158,0.436071949
1,A11,Atrazine,3x,3,3,0.089,0.873684211,0.826932426
1,A11,Atrazine,3x,4,2,0.086,0.915789474,0.832766164
1,A11,Metribuzin,3x,1,0,0,1,1
1,A11,Metribuzin,3x,2,0,0,1,1
1,A11,Metribuzin,3x,3,0,0,1,1
1,A11,Metribuzin,3x,4,0,0,1,1
1,A17,Atrazine,0.5x,1,14,0.442,0.668639053,0.752658086
1,A17,Atrazine,0.5x,2,34,0.786,0.195266272,0.560156687
1,A17,Atrazine,0.5x,3,14,0.472,0.668639053,0.735870174
1,A17,Atrazine,0.5x,4,10,0.462,0.76331361,0.741466144
1,A17,Metribuzin,0.5x,1,0,0,1,1
1,A17,Metribuzin,0.5x,2,2,0.04,0.952662722,0.977616116
1,A17,Metribuzin,0.5x,3,0,0,1,1
1,A17,Metribuzin,0.5x,4,0,0,1,1
1,A17,Atrazine,1x,1,0,0,1,1
1,A17,Atrazine,1x,2,7,0.372,0.834319527,0.791829883
1,A17,Atrazine,1x,3,7,0.407,0.834319527,0.772243984
1,A17,Atrazine,1x,4,6,0.757,0.857988166,0.576385003
1,A17,Metribuzin,1x,1,0,0,1,1
1,A17,Metribuzin,1x,2,0,0,1,1
1,A17,Metribuzin,1x,3,0,0,1,1
1,A17,Metribuzin,1x,4,0,0,1,1
1,A17,Atrazine,3x,1,3,0.005,0.928994083,0.997202015
1,A17,Atrazine,3x,2,5,0.002,0.881656805,0.998880806
1,A17,Atrazine,3x,3,2,0.032,0.952662722,0.982092893
1,A17,Atrazine,3x,4,1,0.001,0.976331361,0.999440403
1,A17,Metribuzin,3x,1,0,0,1,1
1,A17,Metribuzin,3x,2,0,0,1,1
1,A17,Metribuzin,3x,3,0,0,1,1
1,A17,Metribuzin,3x,4,0,0,1,1
1,A18,Atrazine,0.5x,1,0,0,1,1
1,A18,Atrazine,0.5x,2,1,0.021,0.971223022,0.979310345
1,A18,Atrazine,0.5x,3,2,0.048,0.942446043,0.95270936
1,A18,Atrazine,0.5x,4,0,0,1,1
1,A18,Metribuzin,0.5x,1,0,0,1,1
1,A18,Metribuzin,0.5x,2,0,0,1,1
1,A18,Metribuzin,0.5x,3,0,0,1,1
1,A18,Metribuzin,0.5x,4,0,0,1,1
1,A18,Atrazine,1x,1,0,0,1,1
1,A18,Atrazine,1x,2,5,0.02,0.856115108,0.980295567
1,A18,Atrazine,1x,3,5,0.058,0.856115108,0.942857143
1,A18,Atrazine,1x,4,0,0,1,1
1,A18,Metribuzin,1x,1,1,0.008,0.971223022,0.992118227
1,A18,Metribuzin,1x,2,0,0,1,1
1,A18,Metribuzin,1x,3,0,0,1,1
1,A18,Metribuzin,1x,4,0,0,1,1
1,A18,Atrazine,3x,1,0,0,1,1
1,A18,Atrazine,3x,2,0,0,1,1
1,A18,Atrazine,3x,3,1,0.004,0.971223022,0.996059113
1,A18,Atrazine,3x,4,0,0,1,1
1,A18,Metribuzin,3x,1,0,0,1,1
1,A18,Metribuzin,3x,2,0,0,1,1
1,A18,Metribuzin,3x,3,0,0,1,1
1,A18,Metribuzin,3x,4,0,0,1,1
1,A20,Atrazine,0.5x,1,38,1.176,1E-10,1E-10
1,A20,Atrazine,0.5x,2,9,1.205,0.709677419,1E-10
1,A20,Atrazine,0.5x,3,1,,0.967741936,
1,A20,Atrazine,0.5x,4,2,0.046,0.935483871,0.959569325
1,A20,Metribuzin,0.5x,1,8,0.372,0.741935484,0.673038893
1,A20,Metribuzin,0.5x,2,5,0.005,0.838709677,0.995605362
1,A20,Metribuzin,0.5x,3,0,0,1,1
1,A20,Metribuzin,0.5x,4,0,0,1,1
1,A20,Atrazine,1x,1,11,0.506,0.64516129,0.55526258
1,A20,Atrazine,1x,2,14,0.907,0.548387097,0.202812569
1,A20,Atrazine,1x,3,8,0.606,0.741935484,0.467369809
1,A20,Atrazine,1x,4,5,0.05,0.838709677,0.956053615
1,A20,Metribuzin,1x,1,2,0.008,0.935483871,0.992968578
1,A20,Metribuzin,1x,2,0,0,1,1
1,A20,Metribuzin,1x,3,1,0.089,0.967741936,0.921775434
1,A20,Metribuzin,1x,4,0,0,1,1
1,A20,Atrazine,3x,1,0,0,1,1
1,A20,Atrazine,3x,2,13,0.308,0.580645161,0.729290266
1,A20,Atrazine,3x,3,7,0.225,0.774193548,0.802241266
1,A20,Atrazine,3x,4,5,0.114,0.838709677,0.899802241
1,A20,Metribuzin,3x,1,0,0,1,1
1,A20,Metribuzin,3x,2,0,0,1,1
1,A20,Metribuzin,3x,3,0,0,1,1
1,A20,Metribuzin,3x,4,0,0,1,1
1,A22,Atrazine,0.5x,1,2,0.109,0.937007874,0.934701213
1,A22,Atrazine,0.5x,2,0,0,1,1
1,A22,Atrazine,0.5x,3,6,0.22,0.811023622,0.868204283
1,A22,Atrazine,0.5x,4,0,0,1,1
1,A22,Metribuzin,0.5x,1,0,0,1,1
1,A22,Metribuzin,0.5x,2,0,0,1,1
1,A22,Metribuzin,0.5x,3,0,0,1,1
1,A22,Metribuzin,0.5x,4,0,0,1,1
1,A22,Atrazine,1x,1,1,0.004,0.968503937,0.997603714
1,A22,Atrazine,1x,2,2,0.008,0.937007874,0.995207429
1,A22,Atrazine,1x,3,0,0,1,1
1,A22,Atrazine,1x,4,0,0,1,1
1,A22,Metribuzin,1x,1,0,0,1,1
1,A22,Metribuzin,1x,2,0,0,1,1
1,A22,Metribuzin,1x,3,0,0,1,1
1,A22,Metribuzin,1x,4,0,0,1,1
1,A22,Atrazine,3x,1,0,0,1,1
1,A22,Atrazine,3x,2,0,0,1,1
1,A22,Atrazine,3x,3,0,0,1,1
1,A22,Atrazine,3x,4,0,0,1,1
1,A22,Metribuzin,3x,1,0,0,1,1
1,A22,Metribuzin,3x,2,0,0,1,1
1,A22,Metribuzin,3x,3,0,0,1,1
1,A22,Metribuzin,3x,4,0,0,1,1
1,A23,Atrazine,0.5x,1,13,0.193,1E-10,0.784237004
1,A23,Atrazine,0.5x,2,6,0.186,0.4,0.792062605
1,A23,Atrazine,0.5x,3,2,0.001,0.8,0.998882057
1,A23,Atrazine,0.5x,4,0,0,1,1
1,A23,Metribuzin,0.5x,1,0,0,1,1
1,A23,Metribuzin,0.5x,2,0,0,1,1
1,A23,Metribuzin,0.5x,3,0,0,1,1
1,A23,Metribuzin,0.5x,4,0,0,1,1
1,A23,Atrazine,1x,1,3,0.005,0.7,0.994410285
1,A23,Atrazine,1x,2,0,0,1,1
1,A23,Atrazine,1x,3,2,0.001,0.8,0.998882057
1,A23,Atrazine,1x,4,3,0.082,0.7,0.908328675
1,A23,Metribuzin,1x,1,0,0,1,1
1,A23,Metribuzin,1x,2,0,0,1,1
1,A23,Metribuzin,1x,3,0,0,1,1
1,A23,Metribuzin,1x,4,0,0,1,1
1,A23,Atrazine,3x,1,3,0.002,0.7,0.997764114
1,A23,Atrazine,3x,2,0,0,1,1
1,A23,Atrazine,3x,3,1,0.001,0.9,0.998882057
1,A23,Atrazine,3x,4,0,0,1,1
1,A23,Metribuzin,3x,1,0,0,1,1
1,A23,Metribuzin,3x,2,0,0,1,1
1,A23,Metribuzin,3x,3,0,0,1,1
1,A23,Metribuzin,3x,4,0,0,1,1
1,A27,Atrazine,0.5x,1,0,0,1,1
1,A27,Atrazine,0.5x,2,1,0.002,0.949367089,0.998765242
1,A27,Atrazine,0.5x,3,2,0.066,0.898734177,0.959252971
1,A27,Atrazine,0.5x,4,7,0.234,0.64556962,0.855533261
1,A27,Metribuzin,0.5x,1,0,0,1,1
1,A27,Metribuzin,0.5x,2,0,0,1,1
1,A27,Metribuzin,0.5x,3,0,0,1,1
1,A27,Metribuzin,0.5x,4,0,0,1,1
1,A27,Atrazine,1x,1,0,0,1,1
1,A27,Atrazine,1x,2,2,0.007,0.898734177,0.995678345
1,A27,Atrazine,1x,3,2,0.007,0.898734177,0.995678345
1,A27,Atrazine,1x,4,1,0.009,0.949367089,0.994443587
1,A27,Metribuzin,1x,1,1,0.002,0.949367089,0.998765242
1,A27,Metribuzin,1x,2,0,0,1,1
1,A27,Metribuzin,1x,3,0,0,1,1
1,A27,Metribuzin,1x,4,0,0,1,1
1,A27,Atrazine,3x,1,0,0,1,1
1,A27,Atrazine,3x,2,0,0,1,1
1,A27,Atrazine,3x,3,0,0,1,1
1,A27,Atrazine,3x,4,1,0.009,0.949367089,0.994443587
1,A27,Metribuzin,3x,1,0,0,1,1
1,A27,Metribuzin,3x,2,0,0,1,1
1,A27,Metribuzin,3x,3,0,0,1,1
1,A27,Metribuzin,3x,4,0,0,1,1
1,A31,Atrazine,0.5x,1,3,0.017,0.666666667,0.963739135
1,A31,Atrazine,0.5x,2,4,0.07,0.555555556,0.850690556
1,A31,Atrazine,0.5x,3,4,0.012,0.555555556,0.974404095
1,A31,Atrazine,0.5x,4,7,0.73,0.222222222,1E-10
1,A31,Metribuzin,0.5x,1,0,0,1,1
1,A31,Metribuzin,0.5x,2,0,0,1,1
1,A31,Metribuzin,0.5x,3,0,0,1,1
1,A31,Metribuzin,0.5x,4,0,0,1,1
1,A31,Atrazine,1x,1,2,0.003,0.777777778,0.993601024
1,A31,Atrazine,1x,2,3,0.094,0.666666667,0.799498747
1,A31,Atrazine,1x,3,3,0.006,0.666666667,0.987202048
1,A31,Atrazine,1x,4,0,0,1,1
1,A31,Metribuzin,1x,1,0,0,1,1
1,A31,Metribuzin,1x,2,0,0,1,1
1,A31,Metribuzin,1x,3,0,0,1,1
1,A31,Metribuzin,1x,4,0,0,1,1
1,A31,Atrazine,3x,1,0,0,1,1
1,A31,Atrazine,3x,2,1,,0.888888889,1
1,A31,Atrazine,3x,3,0,0,1,1
1,A31,Atrazine,3x,4,1,,0.888888889,1
1,A31,Metribuzin,3x,1,0,0,1,1
1,A31,Metribuzin,3x,2,0,0,1,1
1,A31,Metribuzin,3x,3,0,0,1,1
1,A31,Metribuzin,3x,4,0,0,1,1
1,A34,Atrazine,0.5x,1,1,0.011,0.962264151,0.991492653
1,A34,Atrazine,0.5x,2,6,0.382,0.773584906,0.704563032
1,A34,Atrazine,0.5x,3,3,0.063,0.886792453,0.951276102
1,A34,Atrazine,0.5x,4,6,0.234,0.773584906,0.819025522
1,A34,Metribuzin,0.5x,1,0,0,1,1
1,A34,Metribuzin,0.5x,2,0,0,1,1
1,A34,Metribuzin,0.5x,3,0,0,1,1
1,A34,Metribuzin,0.5x,4,0,0,1,1
1,A34,Atrazine,1x,1,14,0.451,0.471698113,0.651198763
1,A34,Atrazine,1x,2,4,0.033,0.849056604,0.974477958
1,A34,Atrazine,1x,3,0,0,1,1
1,A34,Atrazine,1x,4,0,0,1,1
1,A34,Metribuzin,1x,1,0,0,1,1
1,A34,Metribuzin,1x,2,0,0,1,1
1,A34,Metribuzin,1x,3,0,0,1,1
1,A34,Metribuzin,1x,4,0,0,1,1
1,A34,Atrazine,3x,1,1,0.001,0.962264151,0.999226605
1,A34,Atrazine,3x,2,0,0,1,1
1,A34,Atrazine,3x,3,1,0.003,0.962264151,0.997679814
1,A34,Atrazine,3x,4,0,0,1,1
1,A34,Metribuzin,3x,1,0,0,1,1
1,A34,Metribuzin,3x,2,0,0,1,1
1,A34,Metribuzin,3x,3,0,0,1,1
1,A34,Metribuzin,3x,4,0,0,1,1
1,A35,Atrazine,0.5x,1,7,0.386,0.733333333,0.708514253
1,A35,Atrazine,0.5x,2,2,0.004,0.923809524,0.996979422
1,A35,Atrazine,0.5x,3,2,0.293,0.923809524,0.778742685
1,A35,Atrazine,0.5x,4,2,0.068,0.923809524,0.948650179
1,A35,Metribuzin,0.5x,1,0,0,1,1
1,A35,Metribuzin,0.5x,2,0,0,1,1
1,A35,Metribuzin,0.5x,3,0,0,1,1
1,A35,Metribuzin,0.5x,4,0,0,1,1
1,A35,Atrazine,1x,1,1,0.042,0.961904762,0.968283934
1,A35,Atrazine,1x,2,1,0.073,0.961904762,0.944874457
1,A35,Atrazine,1x,3,4,0.231,0.847619048,0.825561639
1,A35,Atrazine,1x,4,0,0,1,1
1,A35,Metribuzin,1x,1,0,0,1,1
1,A35,Metribuzin,1x,2,0,0,1,1
1,A35,Metribuzin,1x,3,0,0,1,1
1,A35,Metribuzin,1x,4,0,0,1,1
1,A35,Atrazine,3x,1,0,0,1,1
1,A35,Atrazine,3x,2,0,0,1,1
1,A35,Atrazine,3x,3,0,0,1,1
1,A35,Atrazine,3x,4,0,0,1,1
1,A35,Metribuzin,3x,1,0,0,1,1
1,A35,Metribuzin,3x,2,0,0,1,1
1,A35,Metribuzin,3x,3,0,0,1,1
1,A35,Metribuzin,3x,4,0,0,1,1
1,A36,Atrazine,0.5x,1,9,0.632,0.612903226,0.538686131
1,A36,Atrazine,0.5x,2,0,0,1,1
1,A36,Atrazine,0.5x,3,0,0,1,1
1,A36,Atrazine,0.5x,4,0,0,1,1
1,A36,Metribuzin,0.5x,1,1,0.003,0.956989247,0.997810219
1,A36,Metribuzin,0.5x,2,0,0,1,1
1,A36,Metribuzin,0.5x,3,1,0.071,0.956989247,0.948175183
1,A36,Metribuzin,0.5x,4,3,0.004,0.870967742,0.997080292
1,A36,Atrazine,1x,1,7,0.389,0.698924731,0.716058394
1,A36,Atrazine,1x,2,8,0.502,0.655913979,0.633576642
1,A36,Atrazine,1x,3,3,0.089,0.870967742,0.935036496
1,A36,Atrazine,1x,4,5,0.281,0.784946237,0.794890511
1,A36,Metribuzin,1x,1,0,0,1,1
1,A36,Metribuzin,1x,2,0,0,1,1
1,A36,Metribuzin,1x,3,0,0,1,1
1,A36,Metribuzin,1x,4,0,0,1,1
1,A36,Atrazine,3x,1,0,0,1,1
1,A36,Atrazine,3x,2,2,0.052,0.913978495,0.962043796
1,A36,Atrazine,3x,3,0,0,1,1
1,A36,Atrazine,3x,4,4,0.03,0.827956989,0.97810219
1,A36,Metribuzin,3x,1,0,0,1,1
1,A36,Metribuzin,3x,2,0,0,1,1
1,A36,Metribuzin,3x,3,0,0,1,1
1,A36,Metribuzin,3x,4,0,0,1,1
1,A37,Atrazine,0.5x,1,1,0.306,0.957894737,0.656950673
1,A37,Atrazine,0.5x,2,20,0.83,0.157894737,0.069506727
1,A37,Atrazine,0.5x,3,0,0,1,1
1,A37,Atrazine,0.5x,4,0,0,1,1
1,A37,Metribuzin,0.5x,1,0,0,1,1
1,A37,Metribuzin,0.5x,2,0,0,1,1
1,A37,Metribuzin,0.5x,3,4,0.251,0.831578947,0.718609866
1,A37,Metribuzin,0.5x,4,2,0.008,0.915789474,0.99103139
1,A37,Atrazine,1x,1,10,0.716,0.578947368,0.197309417
1,A37,Atrazine,1x,2,11,0.172,0.536842105,0.807174888
1,A37,Atrazine,1x,3,15,0.347,0.368421053,0.610986547
1,A37,Atrazine,1x,4,6,0.206,0.747368421,0.769058296
1,A37,Metribuzin,1x,1,0,0,1,1
1,A37,Metribuzin,1x,2,0,0,1,1
1,A37,Metribuzin,1x,3,0,0,1,1
1,A37,Metribuzin,1x,4,0,0,1,1
1,A37,Atrazine,3x,1,12,0.141,0.494736842,0.841928251
1,A37,Atrazine,3x,2,2,0.004,0.915789474,0.995515695
1,A37,Atrazine,3x,3,4,0.016,0.831578947,0.98206278
1,A37,Atrazine,3x,4,2,0.072,0.915789474,0.919282511
1,A37,Metribuzin,3x,1,0,0,1,1
1,A37,Metribuzin,3x,2,0,0,1,1
1,A37,Metribuzin,3x,3,0,0,1,1
1,A37,Metribuzin,3x,4,0,0,1,1
1,A39,Atrazine,0.5x,1,11,0.8,0.65625,1E-10
1,A39,Atrazine,0.5x,2,6,0.288,0.8125,0.484794276
1,A39,Atrazine,0.5x,3,7,0.388,0.78125,0.305903399
1,A39,Atrazine,0.5x,4,13,0.481,0.59375,0.139534884
1,A39,Metribuzin,0.5x,1,0,0,1,1
1,A39,Metribuzin,0.5x,2,0,0,1,1
1,A39,Metribuzin,0.5x,3,0,0,1,1
1,A39,Metribuzin,0.5x,4,0,0,1,1
1,A39,Atrazine,1x,1,9,0.508,0.71875,0.091234347
1,A39,Atrazine,1x,2,4,0.393,0.875,0.296958855
1,A39,Atrazine,1x,3,7,0.761,0.78125,1E-10
1,A39,Atrazine,1x,4,3,0.166,0.90625,0.703041145
1,A39,Metribuzin,1x,1,0,0,1,1
1,A39,Metribuzin,1x,2,0,0,1,1
1,A39,Metribuzin,1x,3,0,0,1,1
1,A39,Metribuzin,1x,4,0,0,1,1
1,A39,Atrazine,3x,1,0,0,1,1
1,A39,Atrazine,3x,2,0,0,1,1
1,A39,Atrazine,3x,3,0,0,1,1
1,A39,Atrazine,3x,4,0,0,1,1
1,A39,Metribuzin,3x,1,0,0,1,1
1,A39,Metribuzin,3x,2,0,0,1,1
1,A39,Metribuzin,3x,3,0,0,1,1
1,A39,Metribuzin,3x,4,0,0,1,1
1,A41,Atrazine,0.5x,1,21,0.873,0.056179775,1E-10
1,A41,Atrazine,0.5x,2,14,0.704,0.370786517,0.179248033
1,A41,Atrazine,0.5x,3,10,0.338,0.550561798,0.605945788
1,A41,Atrazine,0.5x,4,2,0.029,0.91011236,0.966190615
1,A41,Metribuzin,0.5x,1,1,0.057,0.95505618,0.933547071
1,A41,Metribuzin,0.5x,2,7,0.145,0.685393258,0.830953075
1,A41,Metribuzin,0.5x,3,0,0,1,1
1,A41,Metribuzin,0.5x,4,0,0,1,1
1,A41,Atrazine,1x,1,4,0.217,0.820224719,0.747012533
1,A41,Atrazine,1x,2,4,0.008,0.820224719,0.990673273
1,A41,Atrazine,1x,3,2,0.068,0.91011236,0.920722821
1,A41,Atrazine,1x,4,3,0.005,0.865168539,0.994170796
1,A41,Metribuzin,1x,1,0,0,1,1
1,A41,Metribuzin,1x,2,0,0,1,1
1,A41,Metribuzin,1x,3,0,0,1,1
1,A41,Metribuzin,1x,4,0,0,1,1
1,A41,Atrazine,3x,1,2,0.004,0.91011236,0.995336637
1,A41,Atrazine,3x,2,4,0.029,0.820224719,0.966190615
1,A41,Atrazine,3x,3,0,0,1,1
1,A41,Atrazine,3x,4,2,0.037,0.91011236,0.956863888
1,A41,Metribuzin,3x,1,0,0,1,1
1,A41,Metribuzin,3x,2,0,0,1,1
1,A41,Metribuzin,3x,3,0,0,1,1
1,A41,Metribuzin,3x,4,0,0,1,1
1,A44,Atrazine,0.5x,1,3,0.189,0.894736842,0.711560473
1,A44,Atrazine,0.5x,2,4,0.192,0.859649123,0.706982068
1,A44,Atrazine,0.5x,3,0,0,1,1
1,A44,Atrazine,0.5x,4,0,0,1,1
1,A44,Metribuzin,0.5x,1,1,0.0001,0.964912281,0.999847387
1,A44,Metribuzin,0.5x,2,0,0,1,1
1,A44,Metribuzin,0.5x,3,0,0,1,1
1,A44,Metribuzin,0.5x,4,0,0,1,1
1,A44,Atrazine,1x,1,8,0.141,0.719298246,0.784814956
1,A44,Atrazine,1x,2,0,0,1,1
1,A44,Atrazine,1x,3,4,0.161,0.859649123,0.754292255
1,A44,Atrazine,1x,4,1,0.011,0.964912281,0.983212514
1,A44,Metribuzin,1x,1,0,0,1,1
1,A44,Metribuzin,1x,2,0,0,1,1
1,A44,Metribuzin,1x,3,0,0,1,1
1,A44,Metribuzin,1x,4,0,0,1,1
1,A44,Atrazine,3x,1,0,0,1,1
1,A44,Atrazine,3x,2,0,0,1,1
1,A44,Atrazine,3x,3,1,0.002,0.964912281,0.99694773
1,A44,Atrazine,3x,4,0,0,1,1
1,A44,Metribuzin,3x,1,0,0,1,1
1,A44,Metribuzin,3x,2,0,0,1,1
1,A44,Metribuzin,3x,3,0,0,1,1
1,A44,Metribuzin,3x,4,0,0,1,1
1,A45,Atrazine,0.5x,1,4,0.264,0.555555556,1E-10
1,A45,Atrazine,0.5x,2,8,0.238,0.111111111,1E-10
1,A45,Atrazine,0.5x,3,6,0.171,0.333333333,0.217391304
1,A45,Atrazine,0.5x,4,14,0.112,1E-10,0.487414188
1,A45,Metribuzin,0.5x,1,0,0,1,1
1,A45,Metribuzin,0.5x,2,3,0.045,0.666666667,0.794050343
1,A45,Metribuzin,0.5x,3,0,0,1,1
1,A45,Metribuzin,0.5x,4,0,0,1,1
1,A45,Atrazine,1x,1,3,0.13,0.666666667,0.405034325
1,A45,Atrazine,1x,2,11,0.881,1E-10,1E-10
1,A45,Atrazine,1x,3,7,0.668,0.222222222,1E-10
1,A45,Atrazine,1x,4,4,0.006,0.555555556,0.972540046
1,A45,Metribuzin,1x,1,0,0,1,1
1,A45,Metribuzin,1x,2,0,0,1,1
1,A45,Metribuzin,1x,3,0,0,1,1
1,A45,Metribuzin,1x,4,0,0,1,1
1,A45,Atrazine,3x,1,0,0,1,1
1,A45,Atrazine,3x,2,0,0,1,1
1,A45,Atrazine,3x,3,0,0,1,1
1,A45,Atrazine,3x,4,2,0.023,0.777777778,0.894736842
1,A45,Metribuzin,3x,1,0,0,1,1
1,A45,Metribuzin,3x,2,0,0,1,1
1,A45,Metribuzin,3x,3,0,0,1,1
1,A45,Metribuzin,3x,4,0,0,1,1
1,A47,Atrazine,0.5x,1,0,0,1,1
1,A47,Atrazine,0.5x,2,1,0.033,0.948051948,0.9764538
1,A47,Atrazine,0.5x,3,1,0.192,0.948051948,0.863003924
1,A47,Atrazine,0.5x,4,0,0,1,1
1,A47,Metribuzin,0.5x,1,2,0.055,0.896103896,0.960756333
1,A47,Metribuzin,0.5x,2,2,0.002,0.896103896,0.998572958
1,A47,Metribuzin,0.5x,3,2,0.011,0.896103896,0.992151267
1,A47,Metribuzin,0.5x,4,2,0.28,0.896103896,0.800214056
1,A47,Atrazine,1x,1,0,0,1,1
1,A47,Atrazine,1x,2,1,0.001,0.948051948,0.999286479
1,A47,Atrazine,1x,3,1,0.042,0.948051948,0.970032109
1,A47,Atrazine,1x,4,1,0.044,0.948051948,0.968605066
1,A47,Metribuzin,1x,1,0,0,1,1
1,A47,Metribuzin,1x,2,0,0,1,1
1,A47,Metribuzin,1x,3,0,0,1,1
1,A47,Metribuzin,1x,4,0,0,1,1
1,A47,Atrazine,3x,1,0,0,1,1
1,A47,Atrazine,3x,2,0,0,1,1
1,A47,Atrazine,3x,3,0,0,1,1
1,A47,Atrazine,3x,4,0,0,1,1
1,A47,Metribuzin,3x,1,0,0,1,1
1,A47,Metribuzin,3x,2,0,0,1,1
1,A47,Metribuzin,3x,3,0,0,1,1
1,A47,Metribuzin,3x,4,0,0,1,1
1,A57,Atrazine,0.5x,1,1,0.014,0.954545455,0.970634505
1,A57,Atrazine,0.5x,2,2,0.035,0.909090909,0.926586261
1,A57,Atrazine,0.5x,3,0,0,1,1
1,A57,Atrazine,0.5x,4,0,0,1,1
1,A57,Metribuzin,0.5x,1,0,0,1,1
1,A57,Metribuzin,0.5x,2,0,0,1,1
1,A57,Metribuzin,0.5x,3,0,0,1,1
1,A57,Metribuzin,0.5x,4,0,0,1,1
1,A57,Atrazine,1x,1,1,0.001,0.954545455,0.997902465
1,A57,Atrazine,1x,2,0,0,1,1
1,A57,Atrazine,1x,3,0,0,1,1
1,A57,Atrazine,1x,4,1,0.12,0.954545455,0.748295753
1,A57,Metribuzin,1x,1,0,0,1,1
1,A57,Metribuzin,1x,2,0,0,1,1
1,A57,Metribuzin,1x,3,0,0,1,1
1,A57,Metribuzin,1x,4,0,0,1,1
1,A57,Atrazine,3x,1,0,0,1,1
1,A57,Atrazine,3x,2,0,0,1,1
1,A57,Atrazine,3x,3,0,0,1,1
1,A57,Atrazine,3x,4,0,0,1,1
1,A57,Metribuzin,3x,1,0,0,1,1
1,A57,Metribuzin,3x,2,0,0,1,1
1,A57,Metribuzin,3x,3,0,0,1,1
1,A57,Metribuzin,3x,4,0,0,1,1
1,A65,Atrazine,0.5x,1,4,0.48,0.636363636,1E-10
