run,spp,trt,name,rate,rep,vr_7dat,vr_14dat,vr_21dat,surv,biomass
1,waterhemp,15,Reflex+EXT1576,0,6,0,0,0,1,1.73
1,waterhemp,8,Reflex+TolexME8470,17.5,1,97,60,50,1,0.45
1,waterhemp,8,Reflex+TolexME8470,17.5,2,98,58,50,1,0.63
1,waterhemp,8,Reflex+TolexME8470,17.5,3,99,62,55,1,0.28
1,waterhemp,8,Reflex+TolexME8470,17.5,4,100,95,40,1,0.2
1,waterhemp,8,Reflex+TolexME8470,17.5,5,99,98,95,1,0.2
1,waterhemp,8,Reflex+TolexME8470,17.5,6,90,48,40,1,0.46
1,waterhemp,9,Reflex+TolexME8470,35,1,100,100,100,0,0.1
1,waterhemp,9,Reflex+TolexME8470,35,2,99,100,100,0,0.1
1,waterhemp,9,Reflex+TolexME8470,35,3,96,65,50,0,0.32
1,waterhemp,9,Reflex+TolexME8470,35,4,100,100,100,0,0.12
1,waterhemp,9,Reflex+TolexME8470,35,5,100,100,100,0,0.06
1,waterhemp,9,Reflex+TolexME8470,35,6,98,80,53,1,0.25
1,waterhemp,10,Reflex+TolexME8470,70,1,100,100,100,0,0.07
1,waterhemp,10,Reflex+TolexME8470,70,2,100,100,100,0,0.11
1,waterhemp,10,Reflex+TolexME8470,70,3,98,100,100,0,0.1
1,waterhemp,10,Reflex+TolexME8470,70,4,96,75,60,1,0.24
1,waterhemp,10,Reflex+TolexME8470,70,5,100,100,100,0,0.12
1,waterhemp,10,Reflex+TolexME8470,70,6,98,75,58,1,0.23
1,waterhemp,11,Reflex+TolexME8470,140,1,100,100,100,0,0.14
1,waterhemp,11,Reflex+TolexME8470,140,2,99,98,98,1,0.05
1,waterhemp,11,Reflex+TolexME8470,140,3,100,100,100,0,0.11
1,waterhemp,11,Reflex+TolexME8470,140,4,100,100,100,0,0.11
1,waterhemp,11,Reflex+TolexME8470,140,5,98,88,60,1,0.13
1,waterhemp,11,Reflex+TolexME8470,140,6,100,100,100,0,0.03
1,waterhemp,12,Reflex+TolexME8470,280,1,100,100,100,0,0.03
1,waterhemp,12,Reflex+TolexME8470,280,2,100,100,100,0,0.1
1,waterhemp,12,Reflex+TolexME8470,280,3,100,100,100,0,0.06
1,waterhemp,12,Reflex+TolexME8470,280,4,100,100,100,0,0.1
1,waterhemp,12,Reflex+TolexME8470,280,5,100,100,100,0,0.03
1,waterhemp,12,Reflex+TolexME8470,280,6,100,100,100,0,0.1
1,waterhemp,13,Reflex+TolexME8470,560,1,100,100,100,0,0.06
1,waterhemp,13,Reflex+TolexME8470,560,2,100,100,100,0,0.04
1,waterhemp,13,Reflex+TolexME8470,560,3,100,100,100,0,0.08
1,waterhemp,13,Reflex+TolexME8470,560,4,100,100,100,0,0.09
1,waterhemp,13,Reflex+TolexME8470,560,5,100,100,100,0,0.08
1,waterhemp,13,Reflex+TolexME8470,560,6,100,100,100,0,0.05
1,waterhemp,14,Reflex+TolexME8470,1120,1,100,100,100,0,0.04
1,waterhemp,14,Reflex+TolexME8470,1120,2,100,100,100,0,0.04
1,waterhemp,14,Reflex+TolexME8470,1120,3,100,100,100,0,0.03
1,waterhemp,14,Reflex+TolexME8470,1120,4,100,100,100,0,0.01
1,waterhemp,14,Reflex+TolexME8470,1120,5,100,100,100,0,0.01
1,waterhemp,14,Reflex+TolexME8470,1120,6,100,0,0,1,0.01
1,waterhemp,15,Reflex+TolexME8470,0,1,0,0,0,1,1.22
1,waterhemp,15,Reflex+TolexME8470,0,2,0,0,0,1,1.73
1,waterhemp,15,Reflex+TolexME8470,0,3,0,0,0,1,1.24
1,waterhemp,15,Reflex+TolexME8470,0,4,0,0,0,1,1.27
1,waterhemp,15,Reflex+TolexME8470,0,5,0,0,0,1,2.04
1,waterhemp,15,Reflex+TolexME8470,0,6,0,0,0,1,1.73
