population,latitude,longitude,glyphosate,imazethapyr,atrazine,dicamba,"2,4D",glufosinate,fomesafen,mesotrione,classification
A34,44.02,-87.98,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A35,44.1,-88.12,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A36,44.03,-88.18,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A37,43.586367,-89.384626,3x,3x,s,s,s,,,,"3x gly, ima"
A38,43.806267,-87.85771,3x,1x,s,,,,,,3x gly + 1x ima
A39,43.862247,-87.842485,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A40,42.761388,-89.251111,1x,3x,s,,,,,,3x ima + 1x gly
A41,44.470366,-87.979447,1x,3x,s,s,s,s,s,s,3x ima + 1x gly
A42,42.571569,-89.201148,1x,3x,s,,,,,,3x ima + 1x gly
A43,42.85612,-89.41285,3x,,s,,,,,,3x gly
A44,42.56334,-89.23039,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A45,42.828888,-89.532222,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A46,43.557218,-90.889119,3x,,s,,,,,,3x gly
A47,42.83,-89.65,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A48,42.8,-89.34,3x,3x,s,,,,,,"3x gly, ima"
A49,42.83,-89.52,3x,3x,s,,,,,,"3x gly, ima"
A50,42.81,-89.55,3x,3x,s,,,,,,"3x gly, ima"
A51,42.86,-89.52,3x,3x,s,,,,,,"3x gly, ima"
A53,42.700766,-89.281553,1x,3x,s,,,,,,3x ima + 1x gly
A54,42.503642,-89.176301,3x,,s,,,,,,3x gly
A55,42.811185,-89.272597,1x,3x,s,,,,,,3x ima + 1x gly
A56,42.62828,-89.250021,3x,3x,s,,,,,,"3x gly, ima"
A57,42.776501,-89.240982,3x,3x,s,s,s,,,,"3x gly, ima"
A58,42.658392,-89.185665,3x,3x,s,,,,,,"3x gly, ima"
A59,42.749,-89.45,3x,3x,,,,,,,"3x gly, ima"
A60,42.803268,-89.244854,3x,3x,s,,,,,,"3x gly, ima"
A61,42.695045,-89.445731,3x,3x,s,,,,,,"3x gly, ima"
A62,42.6645,-88.8335,1x,3x,s,,,,,,3x ima + 1x gly
A63,42.756701,-89.380661,1x,3x,s,,,,,,3x ima + 1x gly
A64,42.825869,-89.362225,1x,3x,s,,,,,,3x ima + 1x gly
A65,42.825243,-90.839241,1x,3x,s,s,s,s,s,s,3x ima + 1x gly
A66,42.831016,-90.789129,s,3x,1x,s,s,s,s,s,3x ima + 1x atraz
A67,43.87135,-88.18714,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A68,44.206795,-88.061474,3x,3x,s,,,,,,"3x gly, ima"
A69,43.639931,-88.582963,3x,3x,s,,,,,,"3x gly, ima"
A70,43.854308,-90.654081,3x,3x,3x,,,,,,"3x gly, ima, atraz"
A72,44.375,-89.058,3x,3x,,,,,,,"3x gly, ima"
A73,42.734906,-90.48179,s,3x,1x,,,,,,3x ima + 1x atraz
A74,42.733796,-90.334887,3x,3x,s,,,,,,"3x gly, ima"
A75,43.67459,-88.66232,3x,3x,s,s,1x,s,s,s,"3x gly, ima + 1x 2,4D"
A76,43.706832,-88.624018,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A77,43.714655,-88.517007,3x,3x,s,,,,,,"3x gly, ima"
A82,45.170112,-91.286127,s,3x,s,s,s,s,s,s,3x ima
A83,44.129006,-88.586193,3x,3x,s,,,,,,"3x gly, ima"
A84,44.708675,-92.64005,3x,3x,s,,,,,,"3x gly, ima"
A85,44.970642,-92.200761,3x,3x,1x,,,,,,"3x gly, ima + 1x atraz"
A86,44.851672,-92.563967,1x,3x,,,,,,,3x ima + 1x gly
A87,43.61875,-87.905367,1x,s,s,s,s,s,s,s,1x gly
A89,43.872497,-87.813161,3x,3x,s,,,,,,"3x gly, ima"
A90,44.828195,-87.954893,3x,3x,s,s,s,s,s,s,"3x gly, ima"
A91,45.017061,-91.004261,,1x,s,s,s,,,,1x ima
